,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
279,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,34,Male,United States of America,Never
280,I don't know,I am not sure,No,I don't know,No,Neither easy nor difficult,Maybe,Maybe,No,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,No,,No,Maybe,Maybe,No,1,Rarely,Sometimes,61,Female,United States of America,Sometimes
281,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,0,Sometimes,Sometimes,50,Male,United States of America,Always
282,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Very open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,34,Male,United States of America,Always
283,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Maybe,No,No,,"Yes, I think it would","No, I don't think they would",Somewhat open,No,,No,Yes,Maybe,Yes,1,Sometimes,Sometimes,43,Male,United States of America,Always
284,Yes,No,No,Yes,I don't know,Somewhat difficult,Yes,No,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,No,No,Maybe,No,0,Not applicable to me,Rarely,43,Female,United States of America,Sometimes
285,No,I am not sure,Yes,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,Some of my previous employers,"Yes, it has",Maybe,Very open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Often,Often,44,Male,United States of America,Always
286,I don't know,No,No,I don't know,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No,I don't know,Maybe,Maybe,Yes,1,Rarely,Sometimes,35,Male,United States of America,Sometimes
287,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,50,Male,United States of America,Always
288,Yes,Yes,No,No,Yes,Very difficult,Maybe,No,Maybe,Yes,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Neutral,No,,No,Yes,Maybe,Yes,1,Rarely,Often,29,Male,United States of America,Sometimes
289,Yes,Yes,Yes,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers","No, it has not","No, they do not",Very open,No,,Yes,No,Yes,Yes,1,Rarely,Often,29,Male,United States of America,Never
290,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,No,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,Yes,Maybe,Yes,1,Sometimes,Sometimes,46,Male,United States of America,Always
291,Yes,I am not sure,No,I don't know,No,Very difficult,Yes,Maybe,Maybe,No,No,Yes,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,Yes,Maybe,Maybe,No,1,Not applicable to me,Often,23,Genderqueer/Other,United States of America,Sometimes
292,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,No,No,"No, at none of my previous employers",Maybe,Maybe,Neutral,Maybe/Not sure,N/A,I don't know,Yes,Maybe,Yes,1,Sometimes,Often,41,Male,United States of America,Sometimes
293,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Yes,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Very open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Often,Often,55,Male,United States of America,Sometimes
294,No,N/A,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,No,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Maybe,No,Yes,No,No,0,Never,Often,34,Male,United States of America,Sometimes
295,Yes,Yes,No,No,I don't know,Somewhat difficult,No,No,Yes,Yes,Yes,No,Some of my previous employers,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,No,1,Often,Often,28,Female,United States of America,Always
296,Yes,No,No,No,I don't know,Very difficult,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,33,Male,United States of America,Sometimes
297,Yes,No,No,Yes,No,Neither easy nor difficult,Yes,Yes,Maybe,No,No,Yes,Some of my previous employers,"Yes, I think it would",Maybe,Very open,"Yes, I experienced",Maybe,Yes,Yes,No,Yes,1,Sometimes,Sometimes,29,Male,United States of America,Sometimes
298,Yes,I am not sure,Yes,Yes,Yes,Somewhat difficult,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,No,Yes,Yes,1,Rarely,Sometimes,33,Female,United States of America,Sometimes
299,,,,,,,,,,,,,,Maybe,Maybe,Not applicable to me (I do not have a mental illness),N/A,,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,United States of America,Sometimes
300,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",N/A,Yes,Yes,Yes,Yes,1,Sometimes,Often,28,Male,United States of America,Sometimes
301,Yes,No,Yes,Yes,I don't know,I don't know,No,No,Yes,Yes,Yes,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,No,,Yes,Yes,No,No,1,Not applicable to me,Rarely,32,Male,United States of America,Sometimes
302,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,No,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,"Yes, I observed",N/A,Yes,Maybe,Maybe,No,1,Not applicable to me,Often,36,Female,United States of America,Never
303,,,,,,,,,,,,,Some of my previous employers,"Yes, it has","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,61,Female,United States of America,Sometimes
304,I don't know,I am not sure,No,No,I don't know,I don't know,Yes,Yes,No,No,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,29,Female,United States of America,Sometimes
305,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",N/A,No,No,No,No,0,Rarely,Not applicable to me,37,Male,United States of America,Always
306,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Never,Sometimes,38,Female,United States of America,Never
307,No,Yes,No,I don't know,I don't know,Neither easy nor difficult,No,No,No,Maybe,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,No,,Yes,Yes,No,Yes,1,Rarely,Often,25,Male,United States of America,Sometimes
308,I don't know,No,No,No,I don't know,Very difficult,Maybe,No,No,No,No,No,,Maybe,"No, I don't think they would",Neutral,No,,I don't know,No,Yes,Yes,1,Never,Rarely,27,Male,United States of America,Never
309,No,N/A,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,Yes,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Not applicable to me,Often,24,Male,United States of America,Sometimes
310,No,I am not sure,No,No,I don't know,Somewhat easy,Yes,No,Maybe,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,40,Female,United States of America,Never
311,No,No,No,No,No,Somewhat difficult,Maybe,No,No,No,I don't know,No,Some of my previous employers,Maybe,"Yes, I think they would",Not open at all,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,Yes,1,Sometimes,Often,30,Male,United States of America,Always
312,,,,,,,,,,,,,"No, at none of my previous employers","Yes, it has",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,30,Male,United States of America,Sometimes
313,No,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Yes,No,Yes,1,Rarely,Sometimes,32,Male,United States of America,Sometimes
314,Yes,I am not sure,I don't know,Yes,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,Sometimes
315,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,41,Male,United States of America,Always
316,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Always
317,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,No,Yes,1,Sometimes,Sometimes,47,Male,United States of America,Sometimes
318,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,No,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,,Yes,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Always
319,Yes,I am not sure,Yes,I don't know,I don't know,I don't know,Maybe,No,Yes,Maybe,I don't know,No,Some of my previous employers,Maybe,"Yes, I think they would",Somewhat open,No,,I don't know,No,No,Yes,1,Never,Rarely,36,Male,United States of America,Sometimes
320,No,Yes,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,No,No,No,Some of my previous employers,"Yes, it has","Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,Male,United States of America,Sometimes
321,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,1,Not applicable to me,Rarely,29,Male,United States of America,Sometimes
322,Yes,Yes,No,No,Yes,Very easy,Yes,No,No,No,No,Yes,Some of my previous employers,"Yes, it has","Yes, I think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Often,Often,32,Female,United States of America,Sometimes
323,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,No,Maybe,No,No,I don't know,No,I don't know,"Yes, I think it would",Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,19,Female,United States of America,Never
324,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,No,,Yes,Yes,Maybe,Yes,1,Not applicable to me,Not applicable to me,32,Genderqueer/Other,United States of America,Always
325,I don't know,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would",Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,22,Male,United States of America,Sometimes
326,I don't know,No,I don't know,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Maybe,No,No,1,Not applicable to me,Often,44,Male,United States of America,Sometimes
327,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,United States of America,Sometimes
328,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,I don't know,Yes,Yes,Yes,1,Rarely,Often,31,Female,United States of America,Sometimes
329,Yes,No,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers","No, I don't think it would","No, I don't think they would",Very open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Never
330,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,Maybe,No,No,,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,N/A,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,Never
331,Yes,Yes,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,35,Female,United States of America,Sometimes
332,Yes,No,No,I don't know,I don't know,I don't know,Yes,No,No,No,No,No,I don't know,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,45,Male,United States of America,Always
333,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,,Maybe,"Yes, I think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,22,Female,United States of America,Sometimes
334,Yes,Yes,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",No,I don't know,Maybe,Maybe,No,0,Rarely,Often,34,Male,United States of America,Sometimes
335,,,,,,,,,,,,,I don't know,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,39,Male,United States of America,Sometimes
336,,,,,,,,,,,,,I don't know,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,41,Male,United States of America,Sometimes
337,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No,Some of my previous employers,Maybe,"No, I don't think they would",Neutral,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Male,United States of America,Never
338,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,No,,No,Yes,Yes,Yes,1,Sometimes,Sometimes,34,Male,United States of America,Sometimes
339,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,Yes,Yes,Yes,1,Sometimes,Often,21,Male,United States of America,Never
340,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,No,No,Yes,Maybe,I don't know,No,,"No, I don't think it would","No, I don't think they would",Very open,No,,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,62,Female,United States of America,Never
341,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,Yes,Yes,Yes,Yes,1,Rarely,Often,37,Male,United States of America,Sometimes
342,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers",Maybe,"No, I don't think they would",Somewhat open,No,,I don't know,No,Maybe,No,0,Never,Never,32,Male,United States of America,Always
343,Yes,Yes,I don't know,I don't know,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Neutral,No,,No,No,No,No,1,Rarely,Sometimes,31,Male,United States of America,Sometimes
344,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,Yes,Yes,Maybe,Yes,1,Rarely,Rarely,28,Male,United States of America,Sometimes
345,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,48,Female,United States of America,Always
346,Yes,Yes,Yes,No,No,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, it has not","No, they do not",Very open,No,,Yes,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,42,Male,United States of America,Always
347,Yes,I am not sure,No,Yes,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, it has","No, I don't think they would",Not open at all,N/A,,Yes,Yes,Maybe,Yes,1,Rarely,Rarely,32,Female,United States of America,Always
348,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,No,Maybe,Maybe,Yes,1,Never,Rarely,33,Male,United States of America,Always
349,,,,,,,,,,,,,,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,No,Maybe,Maybe,Yes,1,Not applicable to me,Not applicable to me,40,Male,United States of America,Always
350,Yes,Yes,No,No,Yes,Very easy,Maybe,No,No,No,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,26,Male,United States of America,Never
351,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,39,Female,United States of America,Sometimes
352,Yes,No,No,I don't know,I don't know,Very difficult,Yes,No,No,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Maybe,Yes,No,0,Sometimes,Often,34,Male,United States of America,Sometimes
353,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers","No, it has not","No, they do not",Very open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Male,United States of America,Sometimes
